Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Arable land (hectares),AG.LND.ARBL.HA,Saudi Arabia,SAU,3390000,3592000,3117000,3068000,3430000,3490000,3477000,3437968.1,3430416.9,3430416.9,3430416.9,..
Arable land (hectares),AG.LND.ARBL.HA,Senegal,SEN,3092000,3322000,3300000,3200000,3200000,3200000,3200000,3200000,3200000,3200000,3200000,..
Arable land (hectares),AG.LND.ARBL.HA,Serbia,SRB,..,..,2562100,2590300,2605700,2591000,2598000,2595000,2583000,2579000,2604000,..
Arable land (hectares),AG.LND.ARBL.HA,Seychelles,SYC,1000,1000,140,150,150,150,150,150,150,150,150,..
Arable land (hectares),AG.LND.ARBL.HA,Sierra Leone,SLE,486000,490000,1471650,1583650,1584000,1584000,1584000,1584000,1584000,1584000,1584000,..
Arable land (hectares),AG.LND.ARBL.HA,Singapore,SGP,1000,1000,630,570,560,560,560,560,560,560,560,..
Arable land (hectares),AG.LND.ARBL.HA,Sint Maarten (Dutch part),SXM,..,..,..,..,..,..,..,..,..,..,..,..
Arable land (hectares),AG.LND.ARBL.HA,Slovak Republic,SVK,..,1528000,1392300,1361600,1359200,1350000,1347000,1343000,1348000,1349000,1346000,..
Arable land (hectares),AG.LND.ARBL.HA,Slovenia,SVN,..,173000,183700,184960,184040,184240,184260,184000,181780,181230,181030,..
Arable land (hectares),AG.LND.ARBL.HA,Solomon Islands,SLB,11000,14000,20000,20000,20000,20000,20000,20000,20000,20000,20000,..
Arable land (hectares),AG.LND.ARBL.HA,Somalia,SOM,1022000,1043000,1000000,1100000,1100000,1100000,1100000,1100000,1100000,1100000,1100000,..
Arable land (hectares),AG.LND.ARBL.HA,South Africa,ZAF,12800000,13812000,12000000,12000000,12000000,12000000,12000000,12000000,12000000,12000000,12000000,..
Arable land (hectares),AG.LND.ARBL.HA,South Sudan,SSD,..,..,2658712.5,2616425,2575137.5,2537850,2502562.5,2467275,2396700,2394700,2394700,..
Arable land (hectares),AG.LND.ARBL.HA,Spain,ESP,15335000,13400000,12570000,12181000,12278000,12278220,12337180,12253767,11884251.9,11812314.6,11639398.1,..
Arable land (hectares),AG.LND.ARBL.HA,Sri Lanka,LKA,900000,915000,1300000,1300000,1300000,1300000,1310000,1320200,1371600,1371572.8,1372000,..
Arable land (hectares),AG.LND.ARBL.HA,St. Kitts and Nevis,KNA,8000,7000,5000,5000,5000,5000,5000,5000,5000,5000,5000,..
Arable land (hectares),AG.LND.ARBL.HA,St. Lucia,LCA,2900,2000,2670,2670,2670,2670,2670,2670,2670,2670,2670,..
Arable land (hectares),AG.LND.ARBL.HA,St. Martin (French part),MAF,..,..,..,..,..,..,..,..,..,..,..,..
Arable land (hectares),AG.LND.ARBL.HA,St. Vincent and the Grenadines,VCT,3080,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,..
Arable land (hectares),AG.LND.ARBL.HA,Sudan,SDN,..,..,19856760,19839960,19823160,20080080,20385000,20689920,20994840,20994840,20994840,..
Arable land (hectares),AG.LND.ARBL.HA,Suriname,SUR,57000,57000,52000,60000,65000,65000,65000,62000,62000,62000,62000,..
Arable land (hectares),AG.LND.ARBL.HA,Sweden,SWE,2841000,2599300,2593800,2588620,2580730,2575190,2565580,2555110,2541990,2540120,2538550,..
Arable land (hectares),AG.LND.ARBL.HA,Switzerland,CHE,403700,408800,403800,402901.7,399441.8,398398.8,398695.2,398183.9,398138.9,398794.4,399841.5,..
Arable land (hectares),AG.LND.ARBL.HA,Syrian Arab Republic,SYR,4885000,4542000,4665000,4662000,4662000,4662000,4662000,4662000,4662000,4662000,4662000,..
Arable land (hectares),AG.LND.ARBL.HA,Tajikistan,TJK,..,784000,738600,769400,800200,828800,856000,837900,839400,844200,839400,..
Arable land (hectares),AG.LND.ARBL.HA,Tanzania,TZA,9000000,8600000,12051300,12232700,12414100,12595500,12776900,12958300,13139700,13321100,13502500,..
Arable land (hectares),AG.LND.ARBL.HA,Thailand,THA,17494000,15654000,16560000,16810000,16810000,16810000,16810000,16810000,16810000,16810000,16810000,..
Arable land (hectares),AG.LND.ARBL.HA,Timor-Leste,TLS,110000,120000,115200,114800,114400,114000,113600,113200,112800,111500,111500,..
Arable land (hectares),AG.LND.ARBL.HA,Togo,TGO,2070000,2270000,2650000,2650000,2650000,2650000,2650000,2650000,2650000,2650000,2650000,..
